EXPL,Experimental / Unknown
F100,Fokker 100
F15,McDonnell Douglas F-15 Eagle
F16,General Dynamics F-16 Fighting Falcon
F18,Boeing F/A-18 Hornet
F18H,Boeing F/A-18 Super Hornet
F2TH,Dassault Falcon 2000
F35,Lockheed Martin F-35 Lightning II
F50,Fokker 50
F70,Fokker 70
FA10,Dassault Falcon 10
FA20,Dassault Falcon 20
FA6X,Dassault Falcon 6X
FA7X,Dassault Falcon 7X
FA8X,Dassault Falcon 8X
G115,Grob G115
G12T,Gulfstream G120
G150,Gulfstream G150
G2CA,Gulfstream G200
GA5C,Gulfstream G500
GA6C,Gulfstream G650
GA7C,Gulfstream G700
GA8,GippsAero GA8 Airvan
GA8C,GippsAero GA8 Airvan
GALX,Gulfstream G200
GL5T,Gulfstream G500
GL7T,Gulfstream G700
GLF3,Gulfstream III
GLF4,Gulfstream IV
GLF5,Gulfstream V
GLF6,Gulfstream G650/G650ER
GLID,Glider (generic)
GLEX,Bombardier Global Express
H25B,Hawker 800
H47,Boeing CH-47 Chinook
H60,Sikorsky UH-60 Black Hawk
H64,Boeing AH-64 Apache
HAWK,BAE Hawk
IL76,Ilyushin Il-76
JS32,British Aerospace Jetstream 32
JS41,British Aerospace Jetstream 41
K35R,Boeing KC-135R Stratotanker
L188,Lockheed L-188 Electra
L39,Aero L-39 Albatros
L410,Let L-410 Turbolet
LJ35,Learjet 35
LJ40,Learjet 40
LJ45,Learjet 45
LJ60,Learjet 60
LYNX,Westland Lynx
M339,Aermacchi MB-339
M346,Alenia Aermacchi M-346
MD11,McDonnell Douglas MD-11
MD82,McDonnell Douglas MD-82
MD83,McDonnell Douglas MD-83
MI26,Mil Mi-26
MI8,Mil Mi-8
NH90,NHIndustries NH90
P180,Piaggio P.180 Avanti
P208,Tecnam P2008
P212,Partenavia P.212
P28A,Piper PA-28 Archer
P28R,Piper PA-28R Arrow
P28T,Piper PA-28 Turbo
P3,Lockheed P-3 Orion
P3C,Lockheed P-3C Orion
P8,Boeing P-8 Poseidon
PA18,Piper PA-18 Super Cub
PA28,Piper PA-28 Cherokee
PA31,Piper PA-31 Navajo
PA34,Piper PA-34 Seneca
PA38,Piper PA-38 Tomahawk
PA44,Piper PA-44 Seminole
PA46,Piper PA-46 Malibu
PC12,Pilatus PC-12
PC21,Pilatus PC-21
PC24,Pilatus PC-24
PC7,Pilatus PC-7
PC9,Pilatus PC-9
PC9M,Pilatus PC-9M
PIVI,Piaggio P.180 Avanti
PRM1,Raytheon Sentinel
Q4,Bombardier Dash 8 Q400
R135,Boeing RC-135
R44,Robinson R44
R66,Robinson R66
RJ1H,Avro RJ100
RJ85,Avro RJ85
S76,Sikorsky S-76
S92,Sikorsky S-92
SF34,Saab 340
SF50,Cirrus Vision SF50
SH36,Shorts SD.360
SIRA,Unknown / SIRA
SNGY,Experimental / SNGY
SR20,Cirrus SR20
SR22,Cirrus SR22
SU95,Sukhoi Superjet 100
SW4,Swearingen Metroliner
T206,Cessna T206 Stationair
T34T,Beechcraft T-34 Mentor
T38,Northrop T-38 Talon
T6,Beechcraft T-6 Texan II
TEST,Test / Unknown
TEX2,Beechcraft T-6 Texan II
TOBA,Unknown / TOBA
TOR,Panavia Tornado
TUCA,Emb-312 Tucano
UH1,Bell UH-1 Iroquois
V10,Vickers VC10
WW24,Ikarus C42
YK40,Yakovlev Yak-40
YK42,Yakovlev Yak-42
Z42,Zenair / Z42 (ultralight)
aircraft_type,model_name_manual
AT43,ATR 42-300
EC25,Eurocopter EC225 Super Puma
BE58,Beechcraft Baron 58
AT72,ATR 72-500
D328,Dornier 328
F50,Fokker 50
B190,Beechcraft 1900
JS41,BAe Jetstream 41
SF34,Saab 340
EMB1,Embraer EMB-110 Bandeirante
BE20,Beechcraft King Air 200
DH8D,Bombardier Dash 8 Q400
AT45,ATR 42-500
BE36,Beechcraft Bonanza 36
C208,Cessna 208 Caravan
PC12,Pilatus PC-12
EMB2,Embraer EMB-120 Brasilia
C560,Cessna Citation V
LJ45,Learjet 45
SW4,Swearingen Metroliner
AN24,Antonov An-24
AN26,Antonov An-26
IL18,Ilyushin Il-18
IL76,Ilyushin Il-76
TU95,Tupolev Tu-95
AN12,Antonov An-12
AN32,Antonov An-32
MI8,Mil Mi-8
MI17,Mil Mi-17
KA32,Kamov Ka-32
UH60,Sikorsky UH-60 Black Hawk
AS50,Eurocopter AS350 Écureuil
BELL,Bell 206 JetRanger
R44,Robinson R44
R22,Robinson R22
H25B,AgustaWestland AW109
C130,Lockheed C-130 Hercules
Y12,Harbin Y-12
PZ3T,PZL TS-11 Iskra
